image_path,crop_path,class_name,face_id,x1,y1,x2,y2,confidence,area,score,original_size,resized_size
Datasets2\train\images\00000_Mask_Mouth_Chin_jpg.rf.2cfcad4e53454f13da646e222d59f0c7.jpg,data3/processed\crops\train\mask\00000_Mask_Mouth_Chin_jpg.rf.2cfcad4e53454f13da646e222d59f0c7_face_0.jpg,mask,0,91,105,804,936,0.59848976,412335,0.5984897613525391,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00001_Mask_Chin_jpg.rf.3129f5fc56b21fd24ee2cad1436df585.jpg,data3/processed\crops\train\mask\00001_Mask_Chin_jpg.rf.3129f5fc56b21fd24ee2cad1436df585_face_0.jpg,mask,0,165,49,868,1024,0.6657871,505994,0.6657871007919312,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00001_Mask_Mouth_Chin_jpg.rf.d2fee115eca81142eb9b770b1b4133f1.jpg,data3/processed\crops\train\mask\00001_Mask_Mouth_Chin_jpg.rf.d2fee115eca81142eb9b770b1b4133f1_face_0.jpg,mask,0,161,72,850,1024,0.5537893,466900,0.5537893176078796,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00003_Mask_Mouth_Chin_jpg.rf.3072d9e2e5c6a90d6f37f8f11fcf7ab4.jpg,data3/processed\crops\train\mask\00003_Mask_Mouth_Chin_jpg.rf.3072d9e2e5c6a90d6f37f8f11fcf7ab4_face_0.jpg,mask,0,165,176,850,940,0.60959554,364298,0.609595537185669,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00004_Mask_Mouth_Chin_jpg.rf.d2ed0dab0bdbc265460f0ab6d6179dfb.jpg,data3/processed\crops\train\mask\00004_Mask_Mouth_Chin_jpg.rf.d2ed0dab0bdbc265460f0ab6d6179dfb_face_0.jpg,mask,0,226,120,835,865,0.68447965,316089,0.6844796538352966,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00007_Mask_Mouth_Chin_jpg.rf.223ea978d5e39d9fc5a58c0160920b2c.jpg,data3/processed\crops\train\mask\00007_Mask_Mouth_Chin_jpg.rf.223ea978d5e39d9fc5a58c0160920b2c_face_0.jpg,mask,0,97,165,817,937,0.50830555,386400,0.508305549621582,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00008_Mask_Mouth_Chin_jpg.rf.4f62a35cef0d91ec28d4d12255a2542b.jpg,data3/processed\crops\train\mask\00008_Mask_Mouth_Chin_jpg.rf.4f62a35cef0d91ec28d4d12255a2542b_face_0.jpg,mask,0,837,223,1024,1024,0.6683515,117640,0.6683514714241028,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00010_Mask_Mouth_Chin_jpg.rf.f1a7b3b2b1ed212628d56fa71ccca833.jpg,data3/processed\crops\train\mask\00010_Mask_Mouth_Chin_jpg.rf.f1a7b3b2b1ed212628d56fa71ccca833_face_0.jpg,mask,0,155,45,848,972,0.50211334,447567,0.5021133422851562,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00011_Mask_Mouth_Chin_jpg.rf.785b6ef8c0a9ecc51c51cbccfb36735e.jpg,data3/processed\crops\train\mask\00011_Mask_Mouth_Chin_jpg.rf.785b6ef8c0a9ecc51c51cbccfb36735e_face_0.jpg,mask,0,143,179,863,977,0.55031836,399600,0.5503183603286743,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00012_Mask_Chin_jpg.rf.349ab2833de14321391380c925c2def3.jpg,data3/processed\crops\train\mask\00012_Mask_Chin_jpg.rf.349ab2833de14321391380c925c2def3_face_0.jpg,mask,0,203,85,835,1024,0.51354843,440352,0.5135484337806702,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00013_Mask_Mouth_Chin_jpg.rf.072f1a1920492cccbaea8f7f7291f680.jpg,data3/processed\crops\train\mask\00013_Mask_Mouth_Chin_jpg.rf.072f1a1920492cccbaea8f7f7291f680_face_0.jpg,mask,0,170,94,849,1011,0.5257374,433755,0.5257374048233032,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00014_Mask_Mouth_Chin_jpg.rf.601fae71c8b6e9ed741abaa61e964c98.jpg,data3/processed\crops\train\mask\00014_Mask_Mouth_Chin_jpg.rf.601fae71c8b6e9ed741abaa61e964c98_face_0.jpg,mask,0,168,133,843,952,0.56863415,384529,0.5686341524124146,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00015_Mask_Mouth_Chin_jpg.rf.aec64fadb4bd1772a4427b75a2efb5b1.jpg,data3/processed\crops\train\mask\00015_Mask_Mouth_Chin_jpg.rf.aec64fadb4bd1772a4427b75a2efb5b1_face_0.jpg,mask,0,186,168,854,985,0.56367445,379998,0.5636744499206543,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00016_Mask_Mouth_Chin_jpg.rf.8e2487bca378828839ef2d2e324cb17f.jpg,data3/processed\crops\train\mask\00016_Mask_Mouth_Chin_jpg.rf.8e2487bca378828839ef2d2e324cb17f_face_0.jpg,mask,0,147,90,850,1024,0.60345495,473709,0.6034549474716187,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00017_Mask_Chin_jpg.rf.019992ba151597f1d27d11860679190f.jpg,data3/processed\crops\train\mask\00017_Mask_Chin_jpg.rf.019992ba151597f1d27d11860679190f_face_0.jpg,mask,0,135,103,808,1007,0.5909892,422994,0.5909891724586487,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00018_Mask_Mouth_Chin_jpg.rf.a38998b5b2989af61982daf87fc3928d.jpg,data3/processed\crops\train\mask\00018_Mask_Mouth_Chin_jpg.rf.a38998b5b2989af61982daf87fc3928d_face_0.jpg,mask,0,170,81,838,1024,0.56002736,462582,0.5600273609161377,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00019_Mask_Chin_jpg.rf.236ea7b1fdc366d4a0e64d566daae229.jpg,data3/processed\crops\train\mask\00019_Mask_Chin_jpg.rf.236ea7b1fdc366d4a0e64d566daae229_face_0.jpg,mask,0,113,65,817,1015,0.61246336,465696,0.6124633550643921,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00022_Mask_Mouth_Chin_jpg.rf.8bb609869ded6630471fd0fd03af738c.jpg,data3/processed\crops\train\mask\00022_Mask_Mouth_Chin_jpg.rf.8bb609869ded6630471fd0fd03af738c_face_0.jpg,mask,0,212,91,861,1024,0.5585626,442538,0.5585625767707825,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00023_Mask_Mouth_Chin_jpg.rf.1cecc54468637c4b73ad7d19e30e8b80.jpg,data3/processed\crops\train\mask\00023_Mask_Mouth_Chin_jpg.rf.1cecc54468637c4b73ad7d19e30e8b80_face_0.jpg,mask,0,169,113,845,1024,0.5157607,467556,0.5157607197761536,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00025_Mask_Mouth_Chin_jpg.rf.5ec7a98e4dba5d1a62b59521f823f99c.jpg,data3/processed\crops\train\mask\00025_Mask_Mouth_Chin_jpg.rf.5ec7a98e4dba5d1a62b59521f823f99c_face_0.jpg,mask,0,169,156,857,1024,0.56969833,424186,0.5696983337402344,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00026_Mask_Mouth_Chin_jpg.rf.804afc70b43819c6d81469c54d0867c1.jpg,data3/processed\crops\train\mask\00026_Mask_Mouth_Chin_jpg.rf.804afc70b43819c6d81469c54d0867c1_face_0.jpg,mask,0,174,144,838,900,0.6280101,349020,0.628010094165802,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00030_Mask_Mouth_Chin_jpg.rf.c818b04c5715ef5f8a62d83975363740.jpg,data3/processed\crops\train\mask\00030_Mask_Mouth_Chin_jpg.rf.c818b04c5715ef5f8a62d83975363740_face_0.jpg,mask,0,164,106,874,1024,0.61773926,494320,0.6177392601966858,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00032_Mask_Mouth_Chin_jpg.rf.25ff345e5e4f4c8d1b9067684e0eef1b.jpg,data3/processed\crops\train\mask\00032_Mask_Mouth_Chin_jpg.rf.25ff345e5e4f4c8d1b9067684e0eef1b_face_0.jpg,mask,0,219,115,945,1019,0.58090085,456924,0.5809008479118347,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00033_Mask_Mouth_Chin_jpg.rf.6f5a219e4d78ea29532ee1fd3f3958c8.jpg,data3/processed\crops\train\mask\00033_Mask_Mouth_Chin_jpg.rf.6f5a219e4d78ea29532ee1fd3f3958c8_face_0.jpg,mask,0,48,0,813,800,0.60236514,436437,0.6023651361465454,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00034_Mask_Mouth_Chin_jpg.rf.35232afb8dfc1db186dc99d082c9129a.jpg,data3/processed\crops\train\mask\00034_Mask_Mouth_Chin_jpg.rf.35232afb8dfc1db186dc99d082c9129a_face_0.jpg,mask,0,207,0,1013,1024,0.6459771,636384,0.6459770798683167,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00037_Mask_Chin_jpg.rf.34a6e9f2deff5933a4ca673a1efb4d07.jpg,data3/processed\crops\train\mask\00037_Mask_Chin_jpg.rf.34a6e9f2deff5933a4ca673a1efb4d07_face_0.jpg,mask,0,185,104,842,1024,0.52508307,422181,0.525083065032959,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00039_Mask_Mouth_Chin_jpg.rf.e28de22f7b82c5f0d92c6d128e104262.jpg,data3/processed\crops\train\mask\00039_Mask_Mouth_Chin_jpg.rf.e28de22f7b82c5f0d92c6d128e104262_face_0.jpg,mask,0,209,32,907,1024,0.6249626,490626,0.6249626278877258,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00040_Mask_Mouth_Chin_jpg.rf.cef289a22addbd0e6c27597ae18e76aa.jpg,data3/processed\crops\train\mask\00040_Mask_Mouth_Chin_jpg.rf.cef289a22addbd0e6c27597ae18e76aa_face_0.jpg,mask,0,174,41,860,1024,0.59048575,502216,0.5904857516288757,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00041_Mask_Mouth_Chin_jpg.rf.794d35dc9739a2489c25887698f86cb1.jpg,data3/processed\crops\train\mask\00041_Mask_Mouth_Chin_jpg.rf.794d35dc9739a2489c25887698f86cb1_face_0.jpg,mask,0,196,135,845,893,0.55408746,341912,0.5540874600410461,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00042_Mask_Mouth_Chin_jpg.rf.56aaa361fca71d0ed16196896bfbd979.jpg,data3/processed\crops\train\mask\00042_Mask_Mouth_Chin_jpg.rf.56aaa361fca71d0ed16196896bfbd979_face_0.jpg,mask,0,167,75,839,1024,0.6118128,482160,0.6118127703666687,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00045_Mask_Mouth_Chin_jpg.rf.3ffcf452cf0228c208eb89a588ad8508.jpg,data3/processed\crops\train\mask\00045_Mask_Mouth_Chin_jpg.rf.3ffcf452cf0228c208eb89a588ad8508_face_0.jpg,mask,0,119,78,860,1024,0.6541728,519341,0.6541727781295776,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00054_Mask_Mouth_Chin_jpg.rf.57b0b33b12067f99d2fb66a69f5a5917.jpg,data3/processed\crops\train\mask\00054_Mask_Mouth_Chin_jpg.rf.57b0b33b12067f99d2fb66a69f5a5917_face_0.jpg,mask,0,146,103,858,952,0.5294637,421146,0.5294637084007263,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00055_Mask_Mouth_Chin_jpg.rf.5938f89905aca7387353452695687266.jpg,data3/processed\crops\train\mask\00055_Mask_Mouth_Chin_jpg.rf.5938f89905aca7387353452695687266_face_0.jpg,mask,0,168,141,836,1024,0.5760522,448074,0.576052188873291,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00056_Mask_Mouth_Chin_jpg.rf.f578668b18d7a346b338eed461fd8061.jpg,data3/processed\crops\train\mask\00056_Mask_Mouth_Chin_jpg.rf.f578668b18d7a346b338eed461fd8061_face_0.jpg,mask,0,159,109,862,1024,0.5587405,485449,0.558740496635437,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00057_Mask_Mouth_Chin_jpg.rf.01f1c3a6019f9a547b0d8928a902a484.jpg,data3/processed\crops\train\mask\00057_Mask_Mouth_Chin_jpg.rf.01f1c3a6019f9a547b0d8928a902a484_face_0.jpg,mask,0,146,134,799,1015,0.62619376,400575,0.6261937618255615,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00058_Mask_Mouth_Chin_jpg.rf.12c5889bf478f038428ee2403307b8fe.jpg,data3/processed\crops\train\mask\00058_Mask_Mouth_Chin_jpg.rf.12c5889bf478f038428ee2403307b8fe_face_0.jpg,mask,0,122,69,767,1007,0.5251639,421498,0.5251638889312744,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00059_Mask_Mouth_Chin_jpg.rf.f92d814e8707bc2f0ec0d85e1e24bd6c.jpg,data3/processed\crops\train\mask\00059_Mask_Mouth_Chin_jpg.rf.f92d814e8707bc2f0ec0d85e1e24bd6c_face_0.jpg,mask,0,189,72,849,1024,0.5146093,459800,0.5146092772483826,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00064_Mask_Mouth_Chin_jpg.rf.d0b6a9c8eab23abd91d55934fe25aab3.jpg,data3/processed\crops\train\mask\00064_Mask_Mouth_Chin_jpg.rf.d0b6a9c8eab23abd91d55934fe25aab3_face_0.jpg,mask,0,164,35,869,1024,0.59758335,518320,0.5975833535194397,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00065_Mask_Mouth_Chin_jpg.rf.cb3234f134caf64625434177227f69eb.jpg,data3/processed\crops\train\mask\00065_Mask_Mouth_Chin_jpg.rf.cb3234f134caf64625434177227f69eb_face_0.jpg,mask,0,113,93,814,973,0.5107768,429390,0.5107768177986145,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00066_Mask_Nose_Mouth_jpg.rf.9b551813b84a24d76af98cc003222d60.jpg,data3/processed\crops\train\mask\00066_Mask_Nose_Mouth_jpg.rf.9b551813b84a24d76af98cc003222d60_face_0.jpg,mask,0,169,92,867,1024,0.6442513,462690,0.64425128698349,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00067_Mask_Mouth_Chin_jpg.rf.3466eb47e1ac297a75cfb7c04efcd014.jpg,data3/processed\crops\train\mask\00067_Mask_Mouth_Chin_jpg.rf.3466eb47e1ac297a75cfb7c04efcd014_face_0.jpg,mask,0,175,203,801,1024,0.64002794,367488,0.6400279402732849,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00068_Mask_Chin_jpg.rf.e959a86f158433cb9ad963415d3ce358.jpg,data3/processed\crops\train\mask\00068_Mask_Chin_jpg.rf.e959a86f158433cb9ad963415d3ce358_face_0.jpg,mask,0,181,197,760,998,0.5848314,323127,0.5848314166069031,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00069_Mask_Mouth_Chin_jpg.rf.d609288fbe13eeb15313ac2ae3a37e4b.jpg,data3/processed\crops\train\mask\00069_Mask_Mouth_Chin_jpg.rf.d609288fbe13eeb15313ac2ae3a37e4b_face_0.jpg,mask,0,203,131,853,829,0.63220423,315444,0.6322042346000671,"(1024, 1024)","(500, 500)"
Datasets2\train\images\0006_jpg.rf.0156328449ffe29265c4804a07fd4294.jpg,data3/processed\crops\train\mask\0006_jpg.rf.0156328449ffe29265c4804a07fd4294_face_0.jpg,mask,0,436,659,503,748,0.660667,4275,0.6606670022010803,"(1600, 1063)","(500, 500)"
Datasets2\train\images\00071_Mask_Mouth_Chin_jpg.rf.6db212e6a0f4b02f628e7f87f0747bc7.jpg,data3/processed\crops\train\mask\00071_Mask_Mouth_Chin_jpg.rf.6db212e6a0f4b02f628e7f87f0747bc7_face_0.jpg,mask,0,172,105,835,974,0.6174827,400925,0.6174827218055725,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00073_Mask_Mouth_Chin_jpg.rf.1f35025b19699d2954466a7a96c9f46d.jpg,data3/processed\crops\train\mask\00073_Mask_Mouth_Chin_jpg.rf.1f35025b19699d2954466a7a96c9f46d_face_0.jpg,mask,0,147,232,812,923,0.5740732,320235,0.5740731954574585,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00074_Mask_Mouth_Chin_jpg.rf.21cdca7d9e442ca48cf77ad2d0bbd64c.jpg,data3/processed\crops\train\mask\00074_Mask_Mouth_Chin_jpg.rf.21cdca7d9e442ca48cf77ad2d0bbd64c_face_0.jpg,mask,0,204,81,933,1024,0.5445421,522522,0.5445420742034912,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00076_Mask_Mouth_Chin_jpg.rf.9a8ade61816511af2fd53a1fdb13177d.jpg,data3/processed\crops\train\mask\00076_Mask_Mouth_Chin_jpg.rf.9a8ade61816511af2fd53a1fdb13177d_face_0.jpg,mask,0,217,61,975,1024,0.5765153,540360,0.5765153169631958,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00077_Mask_Chin_jpg.rf.4a695df3015694be0bb30c71e236182b.jpg,data3/processed\crops\train\mask\00077_Mask_Chin_jpg.rf.4a695df3015694be0bb30c71e236182b_face_0.jpg,mask,0,185,107,809,975,0.6648689,376480,0.6648688912391663,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00080_Mask_Mouth_Chin_jpg.rf.daa45406f15394ffdd1c6426e8ee5fae.jpg,data3/processed\crops\train\mask\00080_Mask_Mouth_Chin_jpg.rf.daa45406f15394ffdd1c6426e8ee5fae_face_0.jpg,mask,0,152,151,761,877,0.55470246,308454,0.5547024607658386,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00081_Mask_Chin_jpg.rf.f3ede17996b46637f8de72dea34d90ef.jpg,data3/processed\crops\train\mask\00081_Mask_Chin_jpg.rf.f3ede17996b46637f8de72dea34d90ef_face_0.jpg,mask,0,159,31,884,1024,0.59130263,523930,0.5913026332855225,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00084_Mask_Mouth_Chin_jpg.rf.eca23b243c00dec682328aeb526101ca.jpg,data3/processed\crops\train\mask\00084_Mask_Mouth_Chin_jpg.rf.eca23b243c00dec682328aeb526101ca_face_0.jpg,mask,0,157,132,808,859,0.6112472,329601,0.611247181892395,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00085_Mask_Mouth_Chin_jpg.rf.45a6271b797e0f45bc8e0345d64f1944.jpg,data3/processed\crops\train\mask\00085_Mask_Mouth_Chin_jpg.rf.45a6271b797e0f45bc8e0345d64f1944_face_0.jpg,mask,0,203,72,856,997,0.61779785,420195,0.6177978515625,"(1024, 1024)","(500, 500)"
Datasets2\train\images\00089_Mask_Mouth_Chin_jpg.rf.c05d3c42560dcc9242cb680291670a40.jpg,data3/processed\crops\train\mask\00089_Mask_Mouth_Chin_jpg.rf.c05d3c42560dcc9242cb680291670a40_face_0.jpg,mask,0,248,71,958,1024,0.59014934,494912,0.5901493430137634,"(1024, 1024)","(500, 500)"
