crop_path,class_name,face_id,left_eye_width,left_eye_height,right_eye_width,right_eye_height,left_eye_aspect_ratio,right_eye_aspect_ratio,nose_width,nose_height,nose_aspect_ratio,mouth_width,mouth_height,mouth_aspect_ratio,face_width,face_height,face_aspect_ratio,eye_mouth_distance,mouth_visibility,nose_visibility,chin_visibility,mouth_visibility_avg
data3/processed\crops\train\mask\00000_Mask_Mouth_Chin_jpg.rf.2cfcad4e53454f13da646e222d59f0c7_face_0.jpg,mask,0,0.28132451896148203,0.07950475535867971,0.20181976360280232,0.07033112974037051,0.2826086956521739,0.3484848484848485,0.07950475535867971,0.20181976360280232,2.5384615384615383,0.44033402967884144,0.0030578752061030654,0.006944444444444444,0.8959574353881983,1.1161244502276189,1.2457337883959045,135,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00001_Mask_Chin_jpg.rf.3129f5fc56b21fd24ee2cad1436df585_face_0.jpg,mask,0,0.20079871003375374,0.02328100985898594,0.21534934119561996,0.04656201971797188,0.11594202898550725,0.21621621621621623,0.061112650879838096,0.25027085598409887,4.095238095238095,0.6693290334458458,0.11349492306255646,0.16956521739130434,0.9312403943594376,1.0738365797457265,1.153125,159,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00001_Mask_Mouth_Chin_jpg.rf.d2fee115eca81142eb9b770b1b4133f1_face_0.jpg,mask,0,0.20759435247925498,0.029238641194261266,0.2105182165986811,0.046781825910818024,0.14084507042253522,0.2222222222222222,0.06432501062737478,0.2719193631066298,4.2272727272727275,0.45904666674990185,0.0029238641194261265,0.006369426751592357,0.9268649258580821,1.0789058600682406,1.16403785488959,162,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00003_Mask_Mouth_Chin_jpg.rf.3072d9e2e5c6a90d6f37f8f11fcf7ab4_face_0.jpg,mask,0,0.23330443594282457,0.09838138865058867,0.22768264230564808,0.10400318228776517,0.42168674698795183,0.4567901234567901,0.05340703955317671,0.25579161049153054,4.7894736842105265,0.39352555460235467,0.0028108968185882478,0.007142857142857143,0.8938651883110628,1.1187369337981226,1.251572327044025,173,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00004_Mask_Mouth_Chin_jpg.rf.d2ed0dab0bdbc265460f0ab6d6179dfb_face_0.jpg,mask,0,0.23703917264319327,0.0790130575477311,0.2449404783979664,0.07637928896280673,0.3333333333333333,0.3118279569892473,0.0526753716984874,0.30024961868137817,5.7,0.41876920500297476,0.0026337685849243697,0.006289308176100629,0.8954813188742857,1.1167178800079327,1.2470588235294118,206,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00007_Mask_Mouth_Chin_jpg.rf.223ea978d5e39d9fc5a58c0160920b2c_face_0.jpg,mask,0,0.2691600981844212,0.08577629502580457,0.2218352457563911,0.08873409830255645,0.31868131868131866,0.4,0.07394508191879703,0.27803350801467686,3.76,0.4407126882360303,0.0029578032767518816,0.006711409395973154,0.8991721961325719,1.1121340320587074,1.236842105263158,165,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00010_Mask_Mouth_Chin_jpg.rf.f1a7b3b2b1ed212628d56fa71ccca833_face_0.jpg,mask,0,0.258660240144006,0.07348302276818353,0.23808499376891462,0.07348302276818353,0.2840909090909091,0.30864197530864196,0.07348302276818353,0.2880534492512794,3.92,0.4438374575198285,0.0,0.0,0.8906142359503844,1.1228205878978443,1.2607260726072607,171,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00011_Mask_Mouth_Chin_jpg.rf.785b6ef8c0a9ecc51c51cbccfb36735e_face_0.jpg,mask,0,0.2161324837168128,0.06256466633907738,0.2076009383069386,0.045501575519329006,0.2894736842105263,0.2191780821917808,0.06540851480903545,0.2616340592361418,4.0,0.4834542398928707,0.011375393879832251,0.023529411764705882,0.9555330859059091,1.0465362369445672,1.0952380952380953,165,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00012_Mask_Chin_jpg.rf.349ab2833de14321391380c925c2def3_face_0.jpg,mask,0,0.240081347462576,0.060020336865644,0.24293945874189238,0.06859467070359314,0.25,0.2823529411764706,0.05716222558632762,0.240081347462576,4.2,0.4630140272492537,0.0,0.0,0.9231699432191911,1.0832241748609084,1.173374613003096,155,0.0,0.0,0.0,0.0
data3/processed\crops\train\mask\00013_Mask_Mouth_Chin_jpg.rf.072f1a1920492cccbaea8f7f7291f680_face_0.jpg,mask,0,0.21754828120727096,0.06467651603459407,0.23224748939695142,0.06761635767253016,0.2972972972972973,0.2911392405063291,0.06761635767253016,0.24106701431075972,3.5652173913043477,0.438036404052478,0.002939841637936094,0.006711409395973154,0.9319297992257418,1.0730421978466742,1.1514195583596214,153,0.0,0.0,0.0,0.0
