วันที่,ใส่หน้ากากทั้งหมดต่อวัน,ไม่ใส่หน้ากากทั้งหมดต่อวัน,ใส่/ไม่ใส่หน้ากากรวมทั้งหมดต่อวัน,เปอร์เซ็นต์ใส่หน้ากากต่อวัน,สถานที่
2025-10-10,0,2,2,0.00,บ้านปุ
2025-10-10,649,1,650,99.85,บ้านปุ
2025-10-10,418,5,423,98.82,อาคาร 7
2025-10-10,0,2,2,0.00,อาคาร 7
2025-10-10,5,95,100,5.00,อาคาร 7
2025-10-10,114,1100,1214,9.39,อาคาร 20
2025-10-10,10,267,277,3.61,อาคาร 7
2025-10-11,2,2,4,50.00,อาคาร 7
2025-10-14,0,8,8,0.00,บ้านปุ
2025-10-14,3,8,11,27.27,อาคาร 7
2025-10-14,1,3,4,25.00,อาคาร 7
2025-10-14,28,29,57,49.12,อาคาร 7
2025-10-14,1,20,21,4.76,อาคาร 7
2025-10-14,14,20,34,41.18,บ้านนี้มีรัก
2025-10-14,2,13,15,13.33,Cafeteria
2025-10-14,16,13,29,55.17,Library
2025-10-14,1,4,5,20.00,Cafeteria
2025-10-14,11,4,15,73.33,อาคาร 7
2025-10-14,2,4,6,33.33,Cafeteria
2025-10-14,16,7,23,69.57,อาคาร 7
2025-10-14,1,14,15,6.67,บ้านนี้มีรัก
2025-10-14,1,7,8,12.50,Cafeteria
2025-10-14,14,14,28,50.00,กระถิน
2025-10-14,1,3,4,25.00,Doro
2025-10-14,8,43,51,15.69,กระถิน
2025-10-14,23,41,64,35.94,กระโจง
2025-10-14,4,10,14,28.57,กระโจง
2025-10-15,36,47,83,43.37,กระโจง
2025-10-15,0,1,1,0.00,กระถิน
2025-10-15,14,16,30,46.67,Cafeteria
2025-10-15,0,8,8,0.00,Cafeteria
2025-10-15,83,19,102,81.37,กระต่าย
2025-10-15,13,12,25,52.00,กระต่าย
2025-10-15,4,1,5,80.00,Cafeteria
2025-10-16,7,14,21,33.33,กระถิน
2025-10-16,7,17,24,29.17,กระถิน
2025-10-16,5,9,14,35.71,Cafeteria
2025-10-16,775,20,795,97.48,อาคาร 7
2025-10-27,5,20,25,20.00,Cafeteria
2025-10-27,12,87,99,12.12,Library
2025-10-28,56,36,92,60.87,Cafeteria
2025-10-28,0,1,1,0.00,Cafeteria
2025-10-28,0,1,1,0.00,Library
2025-10-28,0,6,6,0.00,Library
2025-10-28,1,2,3,33.33,Library
2025-10-28,0,2,2,0.00,Library
2025-10-28,0,1,1,0.00,Main Entrance
2025-10-28,0,1,1,0.00,Main Entrance
2025-10-28,1,0,1,100.00,Main Entrance
2025-10-28,1,1,2,50.00,Main Entrance
2025-10-29,54,122,176,30.68,อาคาร 20
2025-10-31,2,1,3,66.67,Cafeteria
2025-10-31,0,1,1,0.00,Cafeteria
2025-11-06,0,1,1,0.00,Cafeteria
