วันเวลา,รูปภาพ,สถานที่
2025-10-14 02:42:46,without_mask_2025-10-14_02-42-46.jpg,อาคาร 7
2025-10-14 02:42:48,without_mask_2025-10-14_02-42-48.jpg,อาคาร 7
2025-10-14 02:42:50,without_mask_2025-10-14_02-42-50.jpg,อาคาร 7
2025-10-14 02:42:52,without_mask_2025-10-14_02-42-52.jpg,อาคาร 7
2025-10-14 02:42:54,without_mask_2025-10-14_02-42-54.jpg,อาคาร 7
2025-10-14 02:42:56,without_mask_2025-10-14_02-42-56.jpg,อาคาร 7
2025-10-14 02:42:58,without_mask_2025-10-14_02-42-58.jpg,อาคาร 7
2025-10-14 02:43:00,without_mask_2025-10-14_02-43-00.jpg,อาคาร 7
2025-10-14 02:43:02,without_mask_2025-10-14_02-43-02.jpg,อาคาร 7
2025-10-14 02:43:04,without_mask_2025-10-14_02-43-04.jpg,อาคาร 7
2025-10-14 02:43:06,without_mask_2025-10-14_02-43-06.jpg,อาคาร 7
2025-10-14 02:43:08,without_mask_2025-10-14_02-43-08.jpg,อาคาร 7
2025-10-14 02:43:11,without_mask_2025-10-14_02-43-11.jpg,อาคาร 7
2025-10-14 02:43:13,without_mask_2025-10-14_02-43-13.jpg,อาคาร 7
2025-10-14 02:43:15,without_mask_2025-10-14_02-43-15.jpg,อาคาร 7
2025-10-14 02:43:17,without_mask_2025-10-14_02-43-17.jpg,อาคาร 7
2025-10-14 02:43:19,without_mask_2025-10-14_02-43-19.jpg,อาคาร 7
2025-10-14 05:59:54,without_mask_2025-10-14_05-59-54.jpg,Cafeteria
2025-10-14 05:59:56,without_mask_2025-10-14_05-59-56.jpg,Cafeteria
2025-10-14 06:00:00,without_mask_2025-10-14_06-00-00.jpg,Cafeteria
2025-10-14 06:00:13,without_mask_2025-10-14_06-00-13.jpg,Cafeteria
2025-10-14 06:00:15,without_mask_2025-10-14_06-00-15.jpg,Cafeteria
2025-10-14 06:00:17,without_mask_2025-10-14_06-00-17.jpg,Cafeteria
2025-10-14 06:00:19,without_mask_2025-10-14_06-00-19.jpg,Cafeteria
2025-10-14 06:00:22,without_mask_2025-10-14_06-00-22.jpg,Cafeteria
2025-10-14 06:00:24,without_mask_2025-10-14_06-00-24.jpg,Cafeteria
2025-10-14 06:00:26,without_mask_2025-10-14_06-00-26.jpg,Cafeteria
2025-10-14 06:00:28,without_mask_2025-10-14_06-00-28.jpg,Cafeteria
2025-10-14 06:00:30,without_mask_2025-10-14_06-00-30.jpg,Cafeteria
2025-10-14 06:00:32,without_mask_2025-10-14_06-00-32.jpg,Cafeteria
2025-10-14 06:00:34,without_mask_2025-10-14_06-00-34.jpg,Cafeteria
2025-10-14 06:01:56,without_mask_2025-10-14_06-01-56.jpg,บ้านนี้มีรัก
2025-10-14 06:01:58,without_mask_2025-10-14_06-01-58.jpg,บ้านนี้มีรัก
2025-10-14 06:02:03,without_mask_2025-10-14_06-02-03.jpg,บ้านนี้มีรัก
2025-10-14 06:02:07,without_mask_2025-10-14_06-02-07.jpg,บ้านนี้มีรัก
2025-10-14 07:04:47,without_mask_2025-10-14_07-04-47.jpg,Cafeteria
2025-10-14 07:04:49,without_mask_2025-10-14_07-04-49.jpg,Cafeteria
2025-10-14 07:04:51,without_mask_2025-10-14_07-04-51.jpg,Cafeteria
2025-10-14 07:04:53,without_mask_2025-10-14_07-04-53.jpg,Cafeteria
2025-10-14 07:04:55,without_mask_2025-10-14_07-04-55.jpg,Cafeteria
2025-10-14 07:04:57,without_mask_2025-10-14_07-04-57.jpg,Cafeteria
2025-10-14 07:05:00,without_mask_2025-10-14_07-05-00.jpg,Cafeteria
2025-10-14 07:05:02,without_mask_2025-10-14_07-05-02.jpg,Cafeteria
2025-10-14 07:05:04,without_mask_2025-10-14_07-05-04.jpg,Cafeteria
2025-10-14 07:54:39,without_mask_2025-10-14_07-54-39.jpg,Library
2025-10-14 07:54:42,without_mask_2025-10-14_07-54-42.jpg,Library
2025-10-14 07:54:46,without_mask_2025-10-14_07-54-46.jpg,Library
2025-10-14 07:54:48,without_mask_2025-10-14_07-54-48.jpg,Library
2025-10-14 07:54:50,without_mask_2025-10-14_07-54-50.jpg,Library
2025-10-14 07:54:52,without_mask_2025-10-14_07-54-52.jpg,Library
2025-10-14 07:54:54,without_mask_2025-10-14_07-54-54.jpg,Library
2025-10-14 07:54:56,without_mask_2025-10-14_07-54-56.jpg,Library
2025-10-14 07:55:09,without_mask_2025-10-14_07-55-09.jpg,Library
2025-10-14 07:55:11,without_mask_2025-10-14_07-55-11.jpg,Library
2025-10-14 07:55:13,without_mask_2025-10-14_07-55-13.jpg,Library
2025-10-14 08:04:05,without_mask_2025-10-14_08-04-05.jpg,Cafeteria
2025-10-14 08:04:07,without_mask_2025-10-14_08-04-07.jpg,Cafeteria
2025-10-14 08:04:09,without_mask_2025-10-14_08-04-09.jpg,Cafeteria
2025-10-14 09:13:35,without_mask_2025-10-14_09-13-35.jpg,Cafeteria
2025-10-14 09:13:37,without_mask_2025-10-14_09-13-37.jpg,Cafeteria
2025-10-14 09:13:39,without_mask_2025-10-14_09-13-39.jpg,Cafeteria
2025-10-14 09:13:41,without_mask_2025-10-14_09-13-41.jpg,Cafeteria
2025-10-14 09:54:46,without_mask_2025-10-14_09-54-46.jpg,อาคาร 7
2025-10-14 09:54:48,without_mask_2025-10-14_09-54-48.jpg,อาคาร 7
2025-10-14 09:54:53,without_mask_2025-10-14_09-54-53.jpg,อาคาร 7
